ts_s,temp_C_raw,temp_C_filt,moist_pct_raw,moist_pct_filt,press_kPa_raw,press_kPa_filt,vib_raw,vib_filt,fsm_state,heater_en,fan_pwm,valve,alarms_mask,fifo_occ
6.4,45.40234375,45.4375,20.64453125,25.75,113.06640625,110.94921875,4.296875,4.0078125,2,1,200,1,0x0000,14
6.5,45.375,45.453125,20.89453125,25.78515625,112.90234375,110.9296875,4.265625,4.015625,2,1,200,1,0x0000,14
6.6,45.3359375,45.42578125,20.51171875,25.7734375,112.8515625,110.91015625,4.25390625,4.015625,2,1,200,1,0x0000,15
6.7,45.51171875,45.4296875,20.42578125,24.51953125,112.85546875,111.41015625,4.25390625,4.08203125,2,1,200,0,0x0000,15
6.8,45.46875,45.43359375,30.98046875,24.4921875,109.0,111.4296875,3.73046875,4.078125,2,1,200,0,0x0000,16
6.9,45.42578125,45.44140625,31.109375,24.5078125,108.98828125,111.44140625,3.7109375,4.0625,2,1,200,0,0x0000,16
7.0,45.515625,45.4453125,30.6484375,24.51171875,108.921875,111.4375,3.77734375,4.0625,2,1,200,0,0x0000,17
7.1,45.4375,45.43359375,31.08984375,25.78515625,108.91796875,110.9375,3.703125,3.99609375,2,1,200,1,0x0000,17
7.2,45.33984375,45.42578125,20.60546875,25.78125,112.95703125,110.921875,4.171875,3.98046875,2,1,200,1,0x0000,18
7.3,45.50390625,45.44140625,20.91015625,25.78515625,112.9375,110.92578125,4.16796875,3.96875,2,1,200,1,0x0000,18
7.4,45.44140625,45.453125,20.58203125,25.79296875,112.93359375,110.9375,4.2734375,3.97265625,2,1,200,1,0x0000,19
7.5,45.38671875,45.4375,20.6328125,25.81640625,113.046875,110.9609375,4.21484375,3.96875,2,1,200,1,0x0000,19
7.6,45.3203125,45.41796875,20.4140625,24.49609375,112.953125,111.45703125,4.24609375,4.03125,2,1,200,0,0x0000,20
7.7,45.4296875,45.421875,31.13671875,24.5,109.01953125,111.4609375,3.69921875,4.03125,2,1,200,0,0x0000,20
7.8,45.4921875,45.41796875,30.7421875,24.51171875,109.0078125,111.46875,3.78125,4.03125,2,1,200,0,0x0000,21
7.9,45.375,45.41015625,30.97265625,24.49609375,108.94921875,111.47265625,3.7109375,4.03125,2,1,200,0,0x0000,21
8.0,45.46875,45.42578125,31.3125,25.8359375,109.109375,110.9921875,3.671875,3.96875,2,1,200,1,0x0000,22
8.1,45.40625,45.4140625,20.421875,25.7734375,113.12890625,111.015625,4.19921875,3.97265625,2,1,200,1,0x0000,22
8.2,45.5546875,45.42578125,20.1796875,25.7265625,113.046875,111.03125,4.203125,3.96484375,2,1,200,1,0x0000,23
8.3,45.34375,45.421875,20.71484375,25.734375,112.91796875,111.015625,4.20703125,3.96484375,2,1,200,1,0x0000,23
8.4,45.703125,45.46875,21.0078125,25.80859375,113.05078125,111.02734375,4.1640625,3.953125,2,1,200,1,0x0000,24
8.5,45.484375,45.4765625,20.26171875,24.44921875,112.89453125,111.51171875,4.23046875,4.01953125,2,1,200,0,0x0000,24
8.6,45.48046875,45.4765625,31.16796875,24.50390625,108.953125,111.50390625,3.7109375,4.01171875,2,1,200,0,0x0000,25
8.7,45.578125,45.5,31.06640625,24.515625,108.875,111.49609375,3.65625,4.00390625,2,1,200,0,0x0000,26
8.8,45.60546875,45.51953125,30.578125,24.421875,109.046875,111.48828125,3.66796875,4.00390625,2,1,200,0,0x0000,27
8.9,45.4921875,45.52734375,30.8125,25.72265625,108.94921875,110.96484375,3.6484375,3.93359375,2,1,200,1,0x0000,27
9.0,45.32421875,45.5,20.7265625,25.7890625,112.87890625,110.9453125,4.22265625,3.9375,2,1,200,1,0x0000,28
9.1,45.3515625,45.5,20.59375,25.7734375,113.05859375,110.9609375,4.2421875,3.94140625,2,1,200,1,0x0000,28
9.2,45.40625,45.46484375,21.03125,25.77734375,112.98046875,110.953125,4.23828125,3.94921875,2,1,200,1,0x0000,29
9.3,45.63671875,45.484375,20.4375,25.80078125,113.0546875,110.97265625,4.15234375,3.94140625,2,1,200,1,0x0000,30
9.4,45.421875,45.4765625,20.54296875,24.47265625,113.17578125,111.5,4.1484375,3.99609375,2,1,200,0,0x0000,30
9.5,45.57421875,45.4765625,31.33203125,24.50390625,109.05859375,111.5234375,3.61328125,3.98828125,2,1,200,0,0x0000,31
9.6,45.453125,45.45703125,31.265625,24.58984375,109.0859375,111.52734375,3.62890625,3.984375,2,1,200,0,0x0000,31
9.7,45.5546875,45.46484375,31.5234375,24.6796875,109.13671875,111.55078125,3.62890625,3.984375,2,1,200,0,0x0000,32
9.8,45.484375,45.484375,31.0234375,25.96875,108.96875,111.0625,3.6328125,3.91015625,2,1,200,1,0x0000,32
9.9,45.3828125,45.48828125,20.953125,26.01171875,112.96484375,111.05078125,4.20703125,3.90625,2,1,200,1,0x0000,33
10.0,45.484375,45.49609375,20.796875,25.984375,112.9375,111.046875,4.12890625,3.890625,2,1,200,1,0x0000,33
10.1,45.46875,45.4765625,21.140625,26.0703125,113.13671875,111.0546875,4.20703125,3.8984375,2,1,200,1,0x0000,33
10.2,45.44921875,45.48046875,21.48828125,26.1875,112.921875,111.0234375,4.15234375,3.8984375,2,1,200,1,0x0000,33
10.3,45.609375,45.484375,20.5859375,24.84375,112.9140625,111.5078125,4.1484375,3.96484375,2,1,200,0,0x0000,33
10.4,45.6328125,45.5078125,30.7734375,24.78515625,108.9453125,111.48828125,3.609375,3.9609375,2,1,200,0,0x0000,33
10.5,45.59375,45.51171875,30.9609375,24.71484375,108.96484375,111.46875,3.7109375,3.97265625,2,1,200,0,0x0000,33
10.6,45.34375,45.4921875,30.70703125,24.67578125,109.15234375,111.4921875,3.6328125,3.97265625,2,1,200,0,0x0000,33
10.7,45.53515625,45.51171875,30.55078125,25.875,108.92578125,110.984375,3.65234375,3.90234375,2,1,200,1,0x0000,33
10.8,45.6484375,45.53515625,21.23046875,25.9296875,113.125,111.0078125,4.16796875,3.91015625,2,1,200,1,0x0000,34
10.9,45.4765625,45.53515625,20.41015625,25.8359375,113.0,110.9921875,4.140625,3.8984375,2,1,200,1,0x0000,34
11.0,45.44921875,45.53515625,21.265625,25.80859375,112.9609375,110.99609375,4.140625,3.8984375,2,1,200,1,0x0000,34
11.1,45.7890625,45.55859375,20.515625,25.80078125,113.0,111.0078125,4.13671875,3.8984375,2,1,200,1,0x0000,34
11.2,45.66796875,45.5625,21.11328125,24.59375,112.98046875,111.51171875,4.1875,3.96875,2,1,200,0,0x0000,34
11.3,45.44140625,45.54296875,30.49609375,24.53515625,108.96484375,111.51171875,3.69140625,3.96875,2,1,200,0,0x0000,34
11.4,45.23046875,45.52734375,31.203125,24.59765625,109.10546875,111.5078125,3.65234375,3.96875,2,1,200,0,0x0000,34
11.5,45.5234375,45.52734375,31.1875,24.67578125,109.0703125,111.5234375,3.66796875,3.97265625,2,1,200,0,0x0000,35
11.6,45.46875,45.50390625,31.34375,25.94140625,108.99609375,111.0078125,3.67578125,3.91015625,2,1,200,1,0x0000,36
11.7,45.5546875,45.515625,21.03125,26.01953125,113.08984375,111.01953125,4.19921875,3.91796875,2,1,200,1,0x0000,36
11.8,45.55859375,45.52734375,20.58203125,25.93359375,113.12109375,111.0390625,4.17578125,3.921875,2,1,200,1,0x0000,36
11.9,45.7109375,45.51953125,20.73828125,25.9609375,113.00390625,111.0390625,4.234375,3.93359375,2,1,200,1,0x0000,36
12.0,45.59765625,45.5078125,20.921875,25.9375,112.92578125,111.03125,4.19140625,3.93359375,2,1,200,1,0x0000,36
12.1,45.4609375,45.51171875,20.97265625,24.74609375,112.9140625,111.52734375,4.140625,3.9921875,2,1,200,0,0x0000,37
12.2,45.57421875,45.5546875,31.31640625,24.76171875,109.05078125,111.51953125,3.609375,3.984375,2,1,200,0,0x0000,37
12.3,45.78125,45.5859375,30.9453125,24.73046875,108.9375,111.50390625,3.68359375,3.98828125,2,1,200,0,0x0000,37
12.4,45.65625,45.609375,31.5859375,24.76171875,109.12109375,111.51953125,3.65234375,3.984375,2,1,200,0,0x0000,37
12.5,45.546875,45.609375,31.21875,26.03515625,109.07421875,111.015625,3.70703125,3.921875,2,1,200,1,0x0000,37
12.6,45.484375,45.6015625,20.85546875,26.06640625,113.28515625,111.0390625,4.22265625,3.9296875,2,1,200,1,0x0000,37
12.7,45.5390625,45.578125,20.78515625,26.07421875,112.96484375,111.03125,4.15625,3.91796875,2,1,200,1,0x0000,37
12.8,45.24609375,45.53515625,20.6171875,26.03515625,112.91796875,111.03125,4.1875,3.91796875,2,1,200,1,0x0000,37
12.9,45.67578125,45.5625,21.0,26.0390625,112.921875,111.03125,4.12890625,3.91796875,2,1,200,1,0x0000,37
13.0,45.66796875,45.57421875,21.02734375,24.75390625,113.0390625,111.53125,4.140625,3.984375,2,1,200,0,0x0000,37
13.1,45.6796875,45.55859375,30.97265625,24.7578125,108.9453125,111.53125,3.7265625,3.98828125,2,1,200,0,0x0000,37
13.2,45.60546875,45.5546875,30.90234375,24.671875,109.0546875,111.5234375,3.671875,3.9921875,2,1,200,0,0x0000,37
13.3,45.48046875,45.546875,31.1015625,24.65625,108.95703125,111.5078125,3.67578125,3.98828125,2,1,200,0,0x0000,38
13.4,45.71875,45.57421875,30.9453125,25.91796875,109.1796875,110.99609375,3.7265625,3.92578125,2,1,200,1,0x0000,38
13.5,45.53515625,45.57421875,20.45703125,25.875,113.02734375,111.00390625,4.171875,3.92578125,2,1,200,1,0x0000,38
13.6,45.56640625,45.61328125,20.640625,25.87890625,113.0859375,111.0234375,4.203125,3.9296875,2,1,200,1,0x0000,38
13.7,45.56640625,45.6015625,20.99609375,25.87890625,112.9296875,111.02734375,4.16015625,3.93359375,2,1,200,1,0x0000,38
13.8,45.625,45.59375,20.7734375,25.84765625,112.953125,111.015625,4.18359375,3.9375,2,1,200,1,0x0000,38
13.9,45.43359375,45.56640625,20.93359375,24.59375,112.90234375,111.5078125,4.20703125,4.0,2,1,200,0,0x0000,38
14.0,45.55078125,45.55859375,30.765625,24.57421875,108.92578125,111.4921875,3.6953125,4.0,2,1,200,0,0x0000,38
14.1,45.63671875,45.578125,31.70703125,24.65234375,108.92578125,111.48828125,3.64453125,3.99609375,2,1,200,0,0x0000,38
14.2,45.69921875,45.57421875,30.65234375,24.61328125,109.0234375,111.46875,3.69140625,3.9921875,2,1,200,0,0x0000,38
14.3,45.46875,45.56640625,30.703125,25.89453125,109.0234375,110.96875,3.7421875,3.9375,2,1,200,1,0x0000,38
14.4,45.74609375,45.58984375,20.828125,25.91796875,113.1875,110.98046875,4.23828125,3.9453125,2,1,200,1,0x0000,38
14.5,45.85546875,45.625,21.5703125,25.98828125,112.99609375,110.9921875,4.1953125,3.94921875,2,1,200,1,0x0000,38
14.6,45.6171875,45.625,21.1796875,26.0390625,112.984375,110.99609375,4.18359375,3.94921875,2,1,200,1,0x0000,38
14.7,45.72265625,45.66015625,21.42578125,26.1015625,113.125,111.0234375,4.30859375,3.9609375,2,1,200,1,0x0000,39
14.8,45.6953125,45.6796875,20.77734375,24.85546875,113.16796875,111.55078125,4.234375,4.02734375,2,1,200,0,0x0000,39
14.9,45.58984375,45.671875,31.23046875,24.79296875,108.828125,111.5390625,3.671875,4.03125,2,1,200,0,0x0000,39
15.0,45.65625,45.66796875,31.015625,24.83984375,109.0,111.5390625,3.71484375,4.03515625,2,1,200,0,0x0000,39
15.1,45.7890625,45.70703125,31.29296875,24.9140625,108.9453125,111.52734375,3.66015625,4.0234375,2,1,200,0,0x0000,40
15.2,45.7578125,45.70703125,31.484375,26.24609375,109.02734375,111.0078125,3.75,3.96484375,2,1,200,1,0x0000,40
15.3,45.62890625,45.6796875,21.3984375,26.22265625,113.15234375,111.02734375,4.26953125,3.97265625,2,1,200,1,0x0000,41
15.4,45.44921875,45.66015625,21.2109375,26.2265625,113.0859375,111.0390625,4.2265625,3.9765625,2,1,200,1,0x0000,41
15.5,45.5625,45.640625,21.13671875,26.19140625,112.84765625,111.00390625,4.2734375,3.97265625,2,1,200,1,0x0000,42
15.6,45.73828125,45.64453125,21.06640625,26.2265625,113.10546875,110.99609375,4.2578125,3.9765625,2,1,200,1,0x0000,42
15.7,45.66796875,45.65625,20.78515625,24.921875,113.1015625,111.53125,4.2734375,4.05078125,2,1,200,0,0x0000,43
15.8,45.6328125,45.65234375,30.921875,24.91015625,109.046875,111.5390625,3.77734375,4.05859375,2,1,200,0,0x0000,43
15.9,45.6484375,45.6328125,30.953125,24.8671875,108.94140625,111.53515625,3.73046875,4.06640625,2,1,200,0,0x0000,44
16.0,45.7890625,45.63671875,31.66015625,24.890625,109.08984375,111.54296875,3.67578125,4.05859375,2,1,200,0,0x0000,44
