frame_seq,ts_ms,tick,proto_id,payload_len,header_hex,crc16_hex,frame_len
197,27800,278,1,32,4c20012000,45BB,41
198,28000,280,1,32,4c20012000,F8B4,41
199,28200,282,1,32,4c20012000,4197,41
200,28400,284,1,32,4c20012000,FDFF,41
201,28600,286,1,32,4c20012000,0169,41
202,28800,288,1,32,4c20012000,B0DD,41
203,29000,290,1,32,4c20012000,B455,41
204,29200,292,1,32,4c20012000,16CB,41
205,29400,294,1,32,4c20012000,A9A7,41
206,29600,296,1,32,4c20012000,6B04,41
207,29800,298,1,32,4c20012000,3DFB,41
208,30000,300,0,32,11032000,B8ED,40
209,30100,301,0,32,11032000,B9F7,40
210,30200,302,0,32,11032000,BCD0,40
211,30300,303,0,32,11032000,B669,40
212,30400,304,0,32,11032000,571A,40
213,30500,305,0,32,11032000,0D42,40
214,30600,306,0,32,11032000,097F,40
215,30700,307,0,32,11032000,F119,40
216,30800,308,0,32,11032000,E4C1,40
217,30900,309,0,32,11032000,5480,40
218,31000,310,0,32,11032000,73EB,40
219,31100,311,0,32,11032000,2202,40
220,31200,312,0,32,11032000,15E0,40
221,31300,313,0,32,11032000,0D2E,40
222,31400,314,0,32,11032000,4C05,40
223,31500,315,0,32,11032000,266E,40
224,31600,316,0,32,11032000,8572,40
225,31700,317,0,32,11032000,0954,40
226,31800,318,0,32,11032000,0644,40
227,31900,319,0,32,11032000,1556,40
228,32000,320,0,32,11032000,4266,40
229,32100,321,0,32,11032000,E2E2,40
230,32200,322,0,32,11032000,6640,40
231,32300,323,0,32,11032000,9151,40
232,32400,324,0,32,11032000,D39C,40
233,32500,325,0,32,11032000,EE46,40
234,32600,326,0,32,11032000,5EBE,40
235,32700,327,0,32,11032000,C902,40
236,32800,328,0,32,11032000,7535,40
237,32900,329,0,32,11032000,6DF2,40
238,33000,330,0,32,11032000,E3A2,40
239,33100,331,0,32,11032000,66EE,40
240,33200,332,0,32,11032000,4FF8,40
241,33300,333,0,32,11032000,D95A,40
242,33400,334,0,32,11032000,4039,40
243,33500,335,0,32,11032000,693D,40
244,33600,336,0,32,11032000,10B0,40
245,33700,337,0,32,11032000,1E27,40
246,33800,338,0,32,11032000,FB17,40
247,33900,339,0,32,11032000,CBB5,40
248,34000,340,0,32,11032000,C20C,40
249,34200,342,0,32,11032000,1820,40
250,34300,343,0,32,11032000,2C24,40
251,34400,344,0,32,11032000,8481,40
252,34500,345,0,32,11032000,57CA,40
253,34600,346,0,32,11032000,98E9,40
254,34700,347,0,32,11032000,4541,40
255,34800,348,0,32,11032000,4D24,40
256,34900,349,0,32,11032000,0887,40
257,35000,350,1,32,4c20012000,895B,41
258,35200,352,1,32,4c20012000,A11C,41
259,35400,354,1,32,4c20012000,6D5E,41
260,35600,356,1,32,4c20012000,7B80,41
261,35800,358,1,32,4c20012000,DD65,41
262,36000,360,1,32,4c20012000,97D5,41
263,36200,362,1,32,4c20012000,F373,41
264,36400,364,1,32,4c20012000,61D6,41
265,36600,366,1,32,4c20012000,ED5B,41
266,36800,368,1,32,4c20012000,FBB6,41
267,37000,370,1,32,4c20012000,8087,41
268,37200,372,1,32,4c20012000,E0A1,41
269,37400,374,1,32,4c20012000,D17E,41
270,37600,376,1,32,4c20012000,7612,41
271,37800,378,1,32,4c20012000,CFB2,41
272,38000,380,1,32,4c20012000,765C,41
273,38200,382,1,32,4c20012000,575D,41
274,38500,385,1,32,4c20012000,0D59,41
275,38700,387,1,32,4c20012000,77F9,41
276,38900,389,1,32,4c20012000,A3DB,41
277,39100,391,1,32,4c20012000,C360,41
278,39300,393,1,32,4c20012000,D2C5,41
279,39600,396,1,32,4c20012000,A0A3,41
280,39800,398,1,32,4c20012000,996C,41
281,40100,401,0,32,11032000,5B97,40
282,40200,402,0,32,11032000,E631,40
283,40300,403,0,32,11032000,B54B,40
284,40400,404,0,32,11032000,09D3,40
285,40500,405,0,32,11032000,44C3,40
